order_id,source_batch,reason_code,customer_id,product_id,order_datetime,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at
O000027,1,PRODUCT_INACTIVE,C0158,P017,2026-02-02 18:54:00,4,1281.37,10,Cash,Online,2026-02-03 23:59:00
O000054,1,PRODUCT_INACTIVE,C0115,P034,2026-03-06 15:56:00,2,530.09,5,Cash,Store,2026-03-07 23:59:00
O000058,1,PRODUCT_INACTIVE,C0069,P034,2026-02-27 23:57:00,5,530.09,0,Bank Transfer,Store,2026-02-28 23:59:00
O000075,1,PRODUCT_INACTIVE,C0016,P034,2026-02-12 07:26:00,2,530.09,5,Cash,Marketplace,2026-02-13 23:59:00
O000083,1,MISSING_CUSTOMER_ID,,P039,2026-02-05 11:37:00,4,688.83,5,Cash,Online,2026-02-06 23:59:00
O000089,1,INVALID_QUANTITY,C0030,P035,2026-03-04 08:25:00,-2,997.99,10,Credit Card,Online,2026-03-05 23:59:00
O000097,1,INVALID_DATETIME,C0110,P040,31/02/2026 10:00,5,1472.44,0,Bank Transfer,Online,2026-03-03 23:59:00
O000101,1,INVALID_DISCOUNT,C0151,P029,2026-02-28 22:40:00,3,450.41,120,Credit Card,Store,2026-03-01 23:59:00
O000107,1,PRODUCT_NOT_FOUND,C0130,P999,2026-03-03 15:13:00,1,766.0,15,PromptPay,Store,2026-03-04 23:59:00
O000111,1,PRODUCT_INACTIVE,C0064,P034,2026-01-26 19:08:00,2,530.09,0,Credit Card,Online,2026-01-27 23:59:00
O000113,1,INVALID_QUANTITY,C0039,P011,2026-01-03 03:35:00,three,616.6,0,PromptPay,Marketplace,2026-01-04 23:59:00
O000131,1,INVALID_DATETIME,C0152,P037,not-a-date,1,185.91,5,Bank Transfer,Marketplace,2026-02-17 23:59:00
O000139,1,MISSING_UNIT_PRICE,C0072,P039,2026-02-03 21:12:00,4,,5,Cash,Online,2026-02-04 23:59:00
O000149,1,CUSTOMER_NOT_FOUND,C9999,P039,2026-01-08 12:33:00,4,688.83,10,PromptPay,Marketplace,2026-01-09 23:59:00
O000166,1,MISSING_CUSTOMER_ID,,P027,2026-01-18 04:01:00,4,817.79,10,PromptPay,Online,2026-01-19 23:59:00
O000178,1,INVALID_QUANTITY,C0061,P026,2026-02-16 01:47:00,-2,1185.43,0,PromptPay,Marketplace,2026-02-17 23:59:00
O000194,1,INVALID_DATETIME,C0075,P003,31/02/2026 10:00,3,344.85,10,Cash,Online,2026-03-20 23:59:00
O000202,1,INVALID_DISCOUNT,C0161,P031,2026-01-15 10:38:00,3,599.9,120,Credit Card,Online,2026-01-16 23:59:00
O000214,1,PRODUCT_NOT_FOUND,C0043,P999,2026-01-04 07:12:00,6,1451.77,0,PromptPay,Store,2026-01-05 23:59:00
O000226,1,INVALID_QUANTITY;PRODUCT_INACTIVE,C0153,P017,2026-03-21 10:12:00,three,1281.37,0,Bank Transfer,Online,2026-03-22 23:59:00
O000249,1,MISSING_CUSTOMER_ID,,P025,2026-02-07 21:50:00,5,833.67,15,Credit Card,Online,2026-02-08 23:59:00
O000258,1,PRODUCT_INACTIVE,C0058,P017,2026-03-13 11:31:00,1,1281.37,0,Bank Transfer,Online,2026-03-14 23:59:00
O000262,1,INVALID_DATETIME,C0097,P044,not-a-date,5,766.0,0,Credit Card,Store,2026-02-03 23:59:00
O000267,1,INVALID_QUANTITY,C0095,P042,2026-01-02 16:42:00,-2,733.19,0,PromptPay,Marketplace,2026-01-03 23:59:00
O000278,1,MISSING_UNIT_PRICE,C0022,P035,2026-02-01 02:14:00,4,,0,PromptPay,Marketplace,2026-02-02 23:59:00
O000284,1,PRODUCT_INACTIVE,C0110,P017,2026-01-05 17:05:00,3,1281.37,10,Cash,Online,2026-01-06 23:59:00
O000291,1,INVALID_DATETIME,C0165,P041,31/02/2026 10:00,2,1291.92,0,Cash,Online,2026-01-06 23:59:00
O000298,1,CUSTOMER_NOT_FOUND,C9999,P037,2026-01-14 00:46:00,2,185.91,10,Bank Transfer,Store,2026-01-15 23:59:00
O000303,1,INVALID_DISCOUNT,C0137,P007,2026-03-02 22:11:00,4,619.54,120,PromptPay,Online,2026-03-03 23:59:00
O000318,1,PRODUCT_INACTIVE,C0134,P017,2026-01-02 00:14:00,5,1281.37,0,Credit Card,Store,2026-01-03 23:59:00
O000321,1,PRODUCT_NOT_FOUND,C0073,P999,2026-01-12 07:42:00,5,624.66,10,Bank Transfer,Online,2026-01-13 23:59:00
O000332,1,MISSING_CUSTOMER_ID;PRODUCT_INACTIVE,,P017,2026-02-18 19:38:00,4,1281.37,0,Bank Transfer,Marketplace,2026-02-19 23:59:00
O000339,1,INVALID_QUANTITY,C0146,P014,2026-03-15 12:23:00,three,358.74,0,Credit Card,Online,2026-03-16 23:59:00
O000342,1,PRODUCT_INACTIVE,C0156,P034,2026-02-24 10:13:00,1,530.09,15,Cash,Store,2026-02-25 23:59:00
O000350,1,PRODUCT_INACTIVE,C0171,P017,2026-03-12 21:39:00,6,1281.37,0,PromptPay,Store,2026-03-13 23:59:00
O000356,1,INVALID_QUANTITY,C0146,P042,2026-01-19 11:29:00,-2,733.19,0,Bank Transfer,Store,2026-01-20 23:59:00
O000371,1,PRODUCT_INACTIVE,C0098,P034,2026-02-09 02:38:00,4,530.09,10,Cash,Marketplace,2026-02-10 23:59:00
