order_id,order_date,order_month,customer_id,product_id,quantity,unit_price,discount,gross_sales,net_sales,channel,payment_id,payment_method,payment_status,paid_at,is_paid,price_imputed,source_file
ORD000001,2026-01-08 17:11:00,2026-01,C0158,P039,2,940.5,0.0,1881.0,1881.0,Marketplace,PAY000001,Bank Transfer,PAID,2026-01-08 17:30:00,True,False,orders_2026_01.csv
ORD000002,2026-01-12 20:13:00,2026-01,C0123,P038,1,12900.0,0.1,12900.0,11610.0,Mobile App,PAY000002,Bank Transfer,PAID,2026-01-12 22:58:00,True,False,orders_2026_01.csv
ORD000003,2026-01-26 14:00:00,2026-01,C0119,P031,3,1415.5,0.05,4246.5,4034.18,Web,PAY000003,PromptPay,PAID,2026-01-26 14:03:00,True,False,orders_2026_01.csv
ORD000004,2026-01-18 16:18:00,2026-01,C0065,P003,2,25900.0,0.0,51800.0,51800.0,Mobile App,PAY000004,Bank Transfer,PAID,2026-01-18 18:24:00,True,False,orders_2026_01.csv
ORD000005,2026-01-08 17:43:00,2026-01,C0129,P007,2,23310.0,0.05,46620.0,44289.0,Mobile App,PAY000005,Credit Card,PAID,2026-01-08 20:03:00,True,False,orders_2026_01.csv
ORD000006,2026-01-23 11:50:00,2026-01,C0097,P037,2,27195.0,0.0,54390.0,54390.0,Mobile App,PAY000006,Bank Transfer,PAID,2026-01-23 12:37:00,True,False,orders_2026_01.csv
ORD000007,2026-01-24 07:03:00,2026-01,C0139,P001,1,284.05,0.0,284.05,284.05,Web,PAY000007,Bank Transfer,PAID,2026-01-24 09:09:00,True,False,orders_2026_01.csv
ORD000009,2026-01-16 04:12:00,2026-01,C0162,P017,1,990.0,0.05,990.0,940.5,Web,PAY000009,Bank Transfer,PAID,2026-01-16 05:42:00,True,False,orders_2026_01.csv
ORD000010,2026-01-07 03:12:00,2026-01,C0100,P017,2,990.0,0.1,1980.0,1782.0,Mobile App,PAY000010,Bank Transfer,PAID,2026-01-07 04:36:00,True,False,orders_2026_01.csv
ORD000011,2026-01-12 14:34:00,2026-01,C0120,P028,2,313.95,0.0,627.9,627.9,Web,PAY000011,Credit Card,PAID,2026-01-12 16:27:00,True,False,orders_2026_01.csv
ORD000012,2026-01-08 22:35:00,2026-01,C0141,P008,2,449.1,0.05,898.2,853.29,Marketplace,PAY000012,Bank Transfer,PAID,2026-01-08 23:43:00,True,False,orders_2026_01.csv
ORD000013,2026-01-27 22:41:00,2026-01,C0110,P002,2,1341.0,0.0,2682.0,2682.0,Mobile App,PAY000013,Bank Transfer,PAID,2026-01-28 01:23:00,True,False,orders_2026_01.csv
ORD000014,2026-01-20 07:11:00,2026-01,C0142,P017,4,990.0,0.0,3960.0,3960.0,Marketplace,PAY000014,Credit Card,PAID,2026-01-20 09:42:00,True,False,orders_2026_01.csv
ORD000015,2026-01-04 13:47:00,2026-01,C0151,P018,2,4189.5,0.0,8379.0,8379.0,Web,PAY000015,Bank Transfer,PAID,2026-01-04 15:28:00,True,False,orders_2026_01.csv
ORD000016,2026-01-18 06:47:00,2026-01,C0072,P006,1,313.95,0.0,313.95,313.95,Mobile App,PAY000016,Bank Transfer,PAID,2026-01-18 07:49:00,True,False,orders_2026_01.csv
ORD000017,2026-01-27 00:37:00,2026-01,C0048,P019,2,3591.0,0.0,7182.0,7182.0,Mobile App,PAY000017,Bank Transfer,PAID,2026-01-27 03:19:00,True,False,orders_2026_01.csv
ORD000018,2026-01-05 02:59:00,2026-01,C0037,P001,3,299.0,0.0,897.0,897.0,Marketplace,PAY000018,Bank Transfer,PAID,2026-01-05 03:24:00,True,False,orders_2026_01.csv
ORD000019,2026-01-14 22:23:00,2026-01,C0159,P019,1,4189.5,0.1,4189.5,3770.55,Web,PAY000019,PromptPay,PAID,2026-01-15 00:15:00,True,False,orders_2026_01.csv
ORD000020,2026-01-08 21:53:00,2026-01,C0115,P007,1,25900.0,0.0,25900.0,25900.0,Web,PAY000020,Credit Card,PAID,2026-01-08 22:34:00,True,False,orders_2026_01.csv
ORD000021,2026-01-18 02:04:00,2026-01,C0007,P007,1,27195.0,0.05,27195.0,25835.25,Web,PAY000021,Bank Transfer,PAID,2026-01-18 03:13:00,True,False,orders_2026_01.csv
ORD000022,2026-01-15 07:54:00,2026-01,C0049,P999,2,499.0,0.0,998.0,998.0,Marketplace,PAY000022,Credit Card,PAID,2026-01-15 10:27:00,True,False,orders_2026_01.csv
